instruction,input,output
Interpret OBD-II code B1736,,Mirror Driver Vertical Switch Circuit Short To Ground
Interpret OBD-II code B1737,,Mirror Driver Horizontal Switch Circuit Failure
Interpret OBD-II code B1738,,Mirror Driver Horizontal Switch Circuit Open
Interpret OBD-II code B1739,,Mirror Driver Horizontal Switch Circuit Short To Battery
Interpret OBD-II code B1740,,Mirror Driver Horizontal Switch Circuit Short To Ground
Interpret OBD-II code B1741,,Mirror Passenger Vertical Switch Circuit Failure
Interpret OBD-II code B1742,,Mirror Passenger Vertical Switch Circuit Open
Interpret OBD-II code B1743,,Mirror Passenger Vertical Switch Circuit Short To Battery
Interpret OBD-II code B1744,,Mirror Passenger Vertical Switch Circuit Short To Ground
Interpret OBD-II code B1745,,Mirror Passenger Horizontal Switch Circuit Failure
Interpret OBD-II code B1746,,Mirror Passenger Horizontal Switch Circuit Open
Interpret OBD-II code B1747,,Mirror Passenger Horizontal Switch Circuit Short To Battery
Interpret OBD-II code B1748,,Mirror Passenger Horizontal Switch Circuit Short To Ground
Interpret OBD-II code B1749,,Park/Neutral Switch Circuit Failure
Interpret OBD-II code B1750,,Park/Neutral Switch Circuit Open
Interpret OBD-II code B1751,,Park/Neutral Switch Circuit Short To Battery
Interpret OBD-II code B1752,,Park/Neutral Switch Circuit Short To Ground
Interpret OBD-II code B1753,,Hazard Flash Output Circuit Failure
Interpret OBD-II code B1754,,Hazard Flash Output Circuit Open
Interpret OBD-II code B1755,,Hazard Flash Output Circuit Short Battery
Interpret OBD-II code B1756,,Hazard Flash Output Circuit Short To Ground
Interpret OBD-II code B1757,,Seat Driver Rear Down  Circuit Failure
Interpret OBD-II code B1758,,Seat Driver Rear Down Circuit Open
Interpret OBD-II code B1759,,Seat Driver Rear Down Circuit Short To Battery
Interpret OBD-II code B1760,,Seat Driver Rear Down Circuit Short To Ground
Interpret OBD-II code B1761,,Seat Driver Front Down  Circuit Failure
Interpret OBD-II code B1762,,Seat Driver Front Down Circuit Open
Interpret OBD-II code B1763,,Seat Driver Front Down Circuit Short To Battery
Interpret OBD-II code B1764,,Seat Driver Front Down Circuit Short To Ground
Interpret OBD-II code B1765,,Seat Driver Forward Circuit Failure
Interpret OBD-II code B1766,,Seat Driver Forward Circuit Open
Interpret OBD-II code B1767,,Seat Driver Forward Circuit Short To Battery
Interpret OBD-II code B1768,,Seat Driver Forward Circuit Short To Ground
Interpret OBD-II code B1769,,Seat Driver Backward Circuit Failure
Interpret OBD-II code B1770,,Seat Driver Backward Circuit Open
Interpret OBD-II code B1771,,Seat Driver Backward Circuit Short To Battery
Interpret OBD-II code B1772,,Seat Driver Backward Circuit Short To Ground
Interpret OBD-II code B1773,,Mirror Driver Up Circuit Failure
Interpret OBD-II code B1774,,Mirror Driver Up Circuit Open
Interpret OBD-II code B1775,,Mirror Driver Up Circuit Short To Battery
Interpret OBD-II code B1776,,Mirror Driver Up Circuit Short To Ground
Interpret OBD-II code B1778,,Mirror Driver Down Circuit Failure
Interpret OBD-II code B1779,,Mirror Driver Down Circuit Open
Interpret OBD-II code B1780,,Mirror Driver Down Circuit Short To Battery
Interpret OBD-II code B1781,,Mirror Driver Down Short To Ground
Interpret OBD-II code B1782,,Mirror Passenger Up Circuit Failure
Interpret OBD-II code B1783,,Mirror Passenger Up Circuit Open
Interpret OBD-II code B1784,,Mirror Passenger Up Circuit Short To Battery
Interpret OBD-II code B1785,,Mirror Passenger Up Circuit Short To Ground
Interpret OBD-II code B1786,,Mirror Passenger Down Circuit Failure
Interpret OBD-II code B1787,,Mirror Passenger Down Circuit Open
Interpret OBD-II code B1788,,Mirror Passenger Down Circuit Short To Battery
Interpret OBD-II code B1789,,Mirror Passenger Down Circuit Short To Ground
Interpret OBD-II code B1790,,Autolamp Sensor Input Circuit Failure
Interpret OBD-II code B1791,,Autolamp Sensor Input Circuit Open
Interpret OBD-II code B1792,,Autolamp Sensor Input Circuit Short To Battery
Interpret OBD-II code B1793,,Autolamp Sensor Input Circuit Short To Ground
Interpret OBD-II code B1794,,Lamp Headlamp Low-Beam Circuit Failure
Interpret OBD-II code B1795,,Lamp Headlamp Low-Beam Circuit Open
Interpret OBD-II code B1796,,Lamp Headlamp Low-Beam Circuit Short To Battery
Interpret OBD-II code B1797,,Lamp Headlamp Low-Beam Circuit Short To Ground
Interpret OBD-II code B1798,,Lamp Turn Signal Front Output Circuit Failure
Interpret OBD-II code B1799,,Lamp Turn Signal Front Output Circuit Open
Interpret OBD-II code B1800,,Lamp Turn Signal Front Output Circuit Short To Battery
Interpret OBD-II code B1801,,Lamp Turn Signal Front Output Circuit Short To Ground
Interpret OBD-II code B1802,,Lamp Turn Signal Rear Output Circuit Failure
Interpret OBD-II code B1803,,Lamp Turn Signal Rear Output Circuit Open
Interpret OBD-II code B1804,,Lamp Turn Signal Rear Output Circuit Short To Battery
Interpret OBD-II code B1805,,Lamp Turn Signal Rear Output Circuit Short To Ground
Interpret OBD-II code B1806,,Lamp Tail Output Circuit Failure
Interpret OBD-II code B1807,,Lamp Tail Output Circuit Open
Interpret OBD-II code B1808,,Lamp Tail Output Circuit Short To Battery
Interpret OBD-II code B1809,,Lamp Tail Output Circuit Short To Ground
Interpret OBD-II code B1810,,Lamp Backup Switch Input Circuit Failure
Interpret OBD-II code B1811,,Lamp Backup Switch Input Circuit Open
Interpret OBD-II code B1812,,Lamp Backup Switch Input Circuit Short To Battery
Interpret OBD-II code B1813,,Lamp Backup Switch Input Circuit Short To Ground
Interpret OBD-II code B1814,,Wiper Rear Motor Down Relay Coil Circuit Failure
Interpret OBD-II code B1815,,Wiper Rear Motor Down Relay Coil Circuit Open
Interpret OBD-II code B1816,,Wiper Rear Motor Down Relay Coil Circuit Short To Battery
Interpret OBD-II code B1817,,Wiper Rear Motor Down Relay Coil Circuit Short To Ground
Interpret OBD-II code B1818,,Wiper Rear Motor Up Relay Coil Circuit Failure
Interpret OBD-II code B1819,,Wiper Rear Motor Up Relay Coil Circuit Open
Interpret OBD-II code B1820,,Wiper Rear Motor Up Relay Coil Circuit Short To Battery
Interpret OBD-II code B1821,,Wiper Rear Motor Up Relay Coil Circuit Short To Ground
Interpret OBD-II code B1822,,Wiper Rear Park Sense Input Circuit Failure
Interpret OBD-II code B1823,,Wiper Rear Park Sense Input Circuit Open
Interpret OBD-II code B1824,,Wiper Rear Park Sense Input Circuit Short To Battery
Interpret OBD-II code B1825,,Wiper Rear Park Sense Input Circuit Short To Ground
Interpret OBD-II code B1826,,Wiper Rear High Limit Input Circuit Failure
Interpret OBD-II code B1827,,Wiper Rear High Limit Input Circuit Open
Interpret OBD-II code B1828,,Wiper Rear High Limit Input Circuit Short To Battery
Interpret OBD-II code B1829,,Wiper Rear High Limit Input Circuit Short To Ground
Interpret OBD-II code B1830,,Door Unlock Disarm Switch Circuit Failure
Interpret OBD-II code B1831,,Door Unlock Disarm Switch Circuit Open
Interpret OBD-II code B1832,,Door Unlock Disarm Switch Circuit Short To Battery
Interpret OBD-II code B1833,,Door Unlock Disarm Switch Circuit Short To Ground
Interpret OBD-II code B1834,,Door Unlock Disarm Output Circuit Failure
Interpret OBD-II code B1835,,Door Unlock Disarm Output Circuit Open
Interpret OBD-II code B1836,,Door Unlock Disarm Output Circuit Short To Battery
Interpret OBD-II code B1837,,Door Unlock Disarm Output Circuit Short To Ground
Interpret OBD-II code B1838,,Battery Saver Power Relay Circuit Failure
Interpret OBD-II code B1839,,Wiper Rear Motor Circuit Failure
Interpret OBD-II code B1840,,Wiper Front Power Circuit Failure
Interpret OBD-II code B1841,,Wiper Front Power Circuit Open
Interpret OBD-II code B1842,,Wiper Front Power Circuit Short To Battery
Interpret OBD-II code B1843,,Wiper Front Power Circuit Short To Ground
Interpret OBD-II code B1844,,Phone Handset Circuit Failure
Interpret OBD-II code B1845,,Ignition Tamper Circuit Failure
Interpret OBD-II code B1846,,Ignition Tamper Circuit Open
Interpret OBD-II code B1847,,Ignition Tamper Circuit Short To Battery
Interpret OBD-II code B1848,,Ignition Tamper Circuit Short To Ground
Interpret OBD-II code B1849,,Climate Control Temperature Differential Circuit Failure
Interpret OBD-II code B1850,,Climate Control Temperature Differential Circuit Open
Interpret OBD-II code B1851,,Climate Control Temperature Differential Circuit Short To Battery
Interpret OBD-II code B1852,,Climate Control Temperature Differential Circuit Short To Ground
Interpret OBD-II code B1853,,Climate Control Air Temperature Internal Sensor Motor Circuit Failure
Interpret OBD-II code B1854,,Climate Control Air Temperature Internal Sensor Motor Circuit Open
Interpret OBD-II code B1855,,Climate Control Air Temperature Internal Sensor Motor Circuit Short To Battery
Interpret OBD-II code B1856,,Climate Control Air Temperature Internal Sensor Motor Circuit Short To Ground
Interpret OBD-II code B1857,,Climate Control On/Off Switch Circuit Failure
Interpret OBD-II code B1858,,Climate Control A/C Pressure Switch Circuit Failure
Interpret OBD-II code B1859,,Climate Control A/C Pressure Switch Circuit Open
Interpret OBD-II code B1860,,Climate Control A/C Pressure Switch Circuit Short To Battery
Interpret OBD-II code B1861,,Climate Control A/C Pressure Switch Circuit Short To Ground
Interpret OBD-II code B1862,,Climate Control A/C Lock Sensor Failure
Interpret OBD-II code B1863,,Ground ECU Circuit Open
Interpret OBD-II code B1864,,Battery Power Supply ECU Circuit Failure
Interpret OBD-II code B1865,,Battery Power Supply ECU Circuit Open
Interpret OBD-II code B1866,,Battery Power Supply ECU Circuit Short To Battery
Interpret OBD-II code B1867,,Battery Power Supply ECU Circuit Short To Ground
Interpret OBD-II code B1868,,Lamp Air Bag Warning Indicator Circuit Failure
Interpret OBD-II code B1869,,Lamp Air Bag Warning Indicator Circuit Open
Interpret OBD-II code B1870,,Lamp Air Bag Warning Indicator Circuit Short To Battery
Interpret OBD-II code B1871,,Passenger Air Bag Disable Module Fault
Interpret OBD-II code B1872,,Turn Signal / Hazard Power Feed Circuit Short To Battery
Interpret OBD-II code B1873,,Turn Signal / Hazard Power Feed Circuit Short To Ground
Interpret OBD-II code B1874,,Cellular Phone Handset Not Present
Interpret OBD-II code B1875,,Turn Signal / Hazard Switch Signal Circuit Failure
Interpret OBD-II code B1876,,Seatbelt Driver Pretensioner Circuit Failure
Interpret OBD-II code B1877,,Seatbelt Driver Pretensioner Circuit Open
Interpret OBD-II code B1878,,Seatbelt Driver Pretensioner Circuit Short to Battery
Interpret OBD-II code B1879,,Seatbelt Driver Pretensioner Circuit Short to Ground
Interpret OBD-II code B1880,,Seatbelt Passenger Pretensioner Circuit Failure
Interpret OBD-II code B1881,,Seatbelt Passenger Pretensioner Circuit Open
Interpret OBD-II code B1882,,Seatbelt Passenger Pretensioner Circuit Short to Battery
Interpret OBD-II code B1883,,Seatbelt Passenger Pretensioner Circuit Short to Ground
Interpret OBD-II code B1884,,PAD Warning Lamp Inoperative
Interpret OBD-II code B1885,,Seatbelt Driver Pretensioner Circuit Resistance Low on Squib
Interpret OBD-II code B1886,,Seatbelt Passenger Pretensioner Circuit Resistance Low on Squib
Interpret OBD-II code B1887,,Air Bag Driver Circuit Resistance Low or Shorted Together
Interpret OBD-II code B1888,,Air Bag Passenger Circuit Resistance Low or Shorted Together
Interpret OBD-II code B1889,,Passenger Airbag Disable Module Sensor Obstructed
Interpret OBD-II code B1890,,PAD Warning Lamp Circuit Short to Battery
Interpret OBD-II code B1891,,Air Bag Tone Warning Indicator Circuit Short to Battery
Interpret OBD-II code B1892,,Air Bag Tone Warning Indicator Circuit Failure
Interpret OBD-II code B1893,,GPS Antenna Open Circuit
Interpret OBD-II code B1894,,Wiper Rear Motor Speed Sense Circuit Failure
Interpret OBD-II code B1897,,Horn Switch Circuit Failure
Interpret OBD-II code B1898,,Chime Input #2 Circuit Short to Ground
Interpret OBD-II code B1899,,Microphone Input Signal Circuit Open
Interpret OBD-II code B1900,,Driver Side Airbag Fault
Interpret OBD-II code B1901,,Air Bag Crash Sensor #1 Feed/Return Circuit Short To Ground
Interpret OBD-II code B1902,,Air Bag Crash Sensor #1 Ground Circuit Failure
Interpret OBD-II code B1903,,Air Bag Crash Sensor #1 Ground Circuit Short To Battery
Interpret OBD-II code B1904,,Air Bag Crash Sensor #2 Feed/Return Circuit Failure
Interpret OBD-II code B1905,,Air Bag Crash Sensor #2 Feed/Return Circuit Short To Battery
Interpret OBD-II code B1906,,Air Bag Crash Sensor #2 Feed/Return Circuit Short To Ground
Interpret OBD-II code B1907,,Air Bag Crash Sensor #2 Ground Circuit Failure
Interpret OBD-II code B1908,,Air Bag Crash Sensor #2 Ground Circuit Short To Battery
Interpret OBD-II code B1909,,Air Bag Crash Sensor #2 Ground Circuit Short To Ground
Interpret OBD-II code B1910,,Air Bag Diagnostic Monitor Ground Circuit Failure
Interpret OBD-II code B1911,,Air Bag Diagnostic Monitor Ground Circuit Short To Battery
Interpret OBD-II code B1912,,Air Bag Diagnostic Monitor Ground Circuit Short To Ground
Interpret OBD-II code B1913,,Air Bag Driver/Passenger Circuit Short To Ground
Interpret OBD-II code B1914,,Air Bag Crash Sensors #1 / #2  Circuit Short To Ground
Interpret OBD-II code B1915,,Air Bag Driver Circuit Failure
Interpret OBD-II code B1916,,Air Bag Driver Circuit Short To Battery
Interpret OBD-II code B1917,,Air Bag Memory Clear Circuit Failure
Interpret OBD-II code B1918,,Air Bag Memory Clear Circuit Open
Interpret OBD-II code B1919,,Air Bag Memory Clear Circuit Short To Battery
Interpret OBD-II code B1920,,Air Bag Passenger Circuit Failure
Interpret OBD-II code B1921,,Air Bag Diagnostic Monitor Ground Circuit Open
Interpret OBD-II code B1922,,Air Bag Safing Sensor Output Circuit Short To Battery
Interpret OBD-II code B1923,,Air Bag Memory Clear Circuit Short To Ground
Interpret OBD-II code B1924,,Air Bag Internal Diagnostic Monitor Fault or System Disarm Fault
Interpret OBD-II code B1925,,Air Bag Passenger Circuit Short To Battery
Interpret OBD-II code B1926,,Air Bag Passenger Pressure Switch Circuit Failure
Interpret OBD-II code B1927,,Passenger Side Airbag Fault
Interpret OBD-II code B1928,,Air Bag Safing Sensor Output Circuit Failure
Interpret OBD-II code B1929,,Air Bag Safing Sensor Output Circuit Open
Interpret OBD-II code B1930,,Air Bag Safing Sensor Output Circuit Short To Ground
Interpret OBD-II code B1931,,Air Bag Crash Sensor #1 Feed/Return Circuit Failure
Interpret OBD-II code B1932,,Air Bag Driver Circuit Open
Interpret OBD-II code B1933,,Air Bag Passenger Circuit Open
Interpret OBD-II code B1934,,Air Bag Driver Inflator Circuit Resistance Low on Squib
Interpret OBD-II code B1935,,Air Bag Passenger Inflator Circuit Resistance Low on Squib
Interpret OBD-II code B1936,,Air Bag Driver Circuit Short To Ground
Interpret OBD-II code B1937,,Air Bag Passenger Pressure Switch Circuit Open
Interpret OBD-II code B1938,,Air Bag Passenger Circuit Short To Ground
Interpret OBD-II code B1939,,Air Bag Passenger Pressure Switch Circuit Short To Ground
Interpret OBD-II code B1941,,Air Bag Crash Sensor #1 Feed/Return Circuit Open
Interpret OBD-II code B1942,,Air Bag Crash Sensor #2 Feed/Return Circuit Open
Interpret OBD-II code B1943,,Air Bag Crash Sensor #1 Ground Circuit Short To Ground
Interpret OBD-II code B1944,,Air Bag Crash Sensor #1 Ground Circuit Open
Interpret OBD-II code B1945,,Air Bag Crash Sensor #2 Ground Circuit Open
Interpret OBD-II code B1946,,Climate Control A/C Post Evaporator Sensor Circuit Failure
Interpret OBD-II code B1947,,Climate Control A/C Post Evaporator Sensor Circuit Short To Ground
Interpret OBD-II code B1948,,Climate Control Water Temperature Sensor Circuit Failure
Interpret OBD-II code B1949,,Climate Control Water Temperature Sensor Circuit Short To Ground
Interpret OBD-II code B1950,,Seat Rear Up/Down Potentiometer Feedback Circuit Failure
Interpret OBD-II code B1951,,Seat Rear Up/Down Potentiometer Feedback Circuit Open
Interpret OBD-II code B1952,,Seat Rear Up/Down Potentiometer Feedback Circuit Short To Battery
Interpret OBD-II code B1953,,Seat Rear Up/Down Potentiometer Feedback Circuit Short To Ground
Interpret OBD-II code B1954,,Seat Front Up/Down Potentiometer Feedback Circuit Failure
Interpret OBD-II code B1955,,Seat Front Up/Down Potentiometer Feedback Circuit Open
Interpret OBD-II code B1956,,Seat Front Up/Down Potentiometer Feedback Circuit Short To Battery
Interpret OBD-II code B1957,,Seat Front Up/Down Potentiometer Feedback Circuit Short To Ground
Interpret OBD-II code B1958,,Seat Recline Forward/Backward Potentiometer Feedback Circuit Failure
Interpret OBD-II code B1959,,Seat Recline Forward/Backward Potentiometer Feedback Circuit Open
Interpret OBD-II code B1960,,Seat Recline Forward/Backward Potentiometer Feedback Circuit Short To Battery
Interpret OBD-II code B1961,,Seat Recline Forward/Backward Potentiometer Feedback Circuit Short To Ground
Interpret OBD-II code B1962,,Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Failure
Interpret OBD-II code B1963,,Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Open
Interpret OBD-II code B1964,,Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Short To Battery
Interpret OBD-II code B1965,,Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Short To Ground
Interpret OBD-II code B1966,,A/C Post Heater Sensor Circuit Failure
Interpret OBD-II code B1967,,A/C Post Heater Sensor Circuit Short To Ground
Interpret OBD-II code B1968,,A/C Water Pump Detection Circuit Failure
Interpret OBD-II code B1969,,A/C Clutch Magnetic Control Circuit Failure
Interpret OBD-II code B1970,,Passenger Seatback Forward Switch Circuit Short to Ground
Interpret OBD-II code B1971,,Passenger Seatback Rearward Switch Circuit Short to Ground
Interpret OBD-II code B1972,,Passenger Rear Seat Up Switch Circuit Short to Battery
Interpret OBD-II code B1973,,Passenger Rear Seat Down Switch Circuit Short to Battery
Interpret OBD-II code B1979,,Passenger Seat Rearward Switch Circuit Short to Battery
Interpret OBD-II code B1980,,Bulb - Outage Condition Detected
Interpret OBD-II code B1981,,Memory Off Switch Circuit Short to Battery
Interpret OBD-II code B1984,,Seat Switch Lumbar Inflate Circuit Failure
Interpret OBD-II code B1985,,Seat Switch Lumbar Deflate Circuit Failure
Interpret OBD-II code B1987,,Pedal Forward / Rearward Motor Stalled
Interpret OBD-II code B1988,,Pedal Position Forward Switch Circuit Short to Battery
Interpret OBD-II code B1989,,Pedal Position Rearward Switch Circuit Short to Battery
Interpret OBD-II code B1990,,Pedal Forward / Rearward Potentiometer Feedback Circuit Failure
Interpret OBD-II code B1991,,Pedal Forward / Rearward Potentiometer Feedback Circuit Short to Battery
Interpret OBD-II code B1992,,Driver Side
Interpret OBD-II code B1993,,Driver Side
Interpret OBD-II code B1994,,Driver Side
Interpret OBD-II code B1995,,Driver Side
Interpret OBD-II code B1996,,Passenger Side
Interpret OBD-II code B1997,,Passenger Side
Interpret OBD-II code B1998,,Passenger Side
Interpret OBD-II code B1999,,Passenger Side
Interpret OBD-II code B2100,,Door Driver Key Cylinder Switch Failure
Interpret OBD-II code B2101,,Head Rest Switch Circuit Failure
Interpret OBD-II code B2102,,Antenna Circuit Short to Ground
Interpret OBD-II code B2103,,Antenna Not Connected
Interpret OBD-II code B2104,,Door Passenger Key Cylinder Switch Failure
Interpret OBD-II code B2105,,Throttle Position Input Out of Range Low
Interpret OBD-II code B2106,,Throttle Position Input Out of Range High
Interpret OBD-II code B2107,,Front Wiper Motor Relay Circuit Short to Vbatt
Interpret OBD-II code B2108,,Trunk Key Cylinder Switch Failure
Interpret OBD-II code B2109,,Heated Wind Shield Relay Short to Vbatt (changed from Failure 2/6/97)
Interpret OBD-II code B2110,,Front Wiper Motor Relay Circuit Open (changed from Failure 2/6/97)
Interpret OBD-II code B2111,,All Door Lock Input Short to Ground
Interpret OBD-II code B2112,,Door Driver Set Switch Stuck Failure
Interpret OBD-II code B2113,,Heated Windshield Input Short to Ground
Interpret OBD-II code B2114,,Front Washer Input Short to Ground
Interpret OBD-II code B2115,,Rear Washer Input Short to Ground
Interpret OBD-II code B2116,,Door Driver Reset Switch Stuck Failure
Interpret OBD-II code B2117,,Driver Side
Interpret OBD-II code B2118,,Passenger Side
Interpret OBD-II code B2119,,Compressor Failure
Interpret OBD-II code B2120,,Door Passenger Set Switch Stuck Failure
Interpret OBD-II code B2122,,Driver Side Satellite Communication Circuit Short to Ground
Interpret OBD-II code B2123,,Passenger Side Satellite Communication Circuit Short to Ground
Interpret OBD-II code B2124,,Door Passenger Reset Switch Stuck Failure
Interpret OBD-II code B2128,,Central Lock Motor Failure
Interpret OBD-II code B2129,,Central Lock Feedback Failure
Interpret OBD-II code B2130,,Double Lock Timeout Failure
Interpret OBD-II code B2131,,Double Lock Feedback Failure
Interpret OBD-II code B2132,,Dimmer switch Circuit Short to Gnd
Interpret OBD-II code B2133,,Brake Motor Warning lamp Circuit Failure
Interpret OBD-II code B2134,,Brake Motor Warning lamp Circuit Short to Vbatt
Interpret OBD-II code B2135,,Park Brake Applied Warning Lamp Circuit Failure
Interpret OBD-II code B2136,,Park Brake Applied Warning Lamp Circuit Short To Battery
Interpret OBD-II code B2139,,Data Mismatch (receive data does not match what was expected)
Interpret OBD-II code B2141,,NVM Configuration Failure
Interpret OBD-II code B2142,,NVM TIC Failure
Interpret OBD-II code B2143,,NVM Memory Failure
Interpret OBD-II code B2144,,NVM Alarm Data Failure
Interpret OBD-II code B2145,,NVM RF HR Failure
Interpret OBD-II code B2146,,Seat Recline Motor Position Out of Range
Interpret OBD-II code B2148,,PWM Input Circuit Failure
Interpret OBD-II code B2149,,Seat Front Vertical Motor Position Out of Range
Interpret OBD-II code B2150,,Power Supply #1 Circuit Short to Ground
Interpret OBD-II code B2151,,Power Supply #2 Circuit Short to Ground
Interpret OBD-II code B2152,,Seat Rear Vertical Motor Position Out of Range
Interpret OBD-II code B2153,,Rear Echo Sensor Circuit Failure
Interpret OBD-II code B2154,,Front Echo Sensor Circuit Failure
Interpret OBD-II code B2155,,Seat Horizontal Motor Position Out of Range
Interpret OBD-II code B2156,,Rear Doppler Sensor Circuit Failure
Interpret OBD-II code B2157,,Front Doppler Sensor Circuit Failure
Interpret OBD-II code B2158,,Seat Recline Motor Memory Position Out of Range
Interpret OBD-II code B2159,,Memory #1 output Short to Ground
Interpret OBD-II code B2160,,Memory #1 output Short to VBatt
Interpret OBD-II code B2161,,Seat Front Vertical Motor Memory Position Out of Range
Interpret OBD-II code B2162,,Data Mismatch #2 (receive data does not match what was expected)
Interpret OBD-II code B2163,,Clutch Position Fault
Interpret OBD-II code B2164,,Seat Rear Vertical Motor Memory Position Out of Range
Interpret OBD-II code B2165,,Gear shift position Fault
Interpret OBD-II code B2166,,Gear select position Fault
Interpret OBD-II code B2167,,Seat Horizontal Motor Memory Position Out of Range
Interpret OBD-II code B2168,,Unable to confirm Unlock Condition
Interpret OBD-II code B2169,,Unable to confirm lock Condition
Interpret OBD-II code B2170,,Steering Column Lock Switch Circuit Failure
Interpret OBD-II code B2172,,Inertia Switch input Circuit Open
Interpret OBD-II code B2174,,Window Driver Rear Remote Up Switch Short to Battery
Interpret OBD-II code B2175,,A/C Request Signal Circuit Short to Ground
Interpret OBD-II code B2176,,Overdrive switch circuit short to Vbatt
Interpret OBD-II code B2177,,Interior Scanning Sensor Circuit Failure
Interpret OBD-II code B2178,,Window Driver Rear Remote Down Switch Short to Battery
Interpret OBD-II code B2179,,"Front Wiper Select Switch ""A"" Short to Ground"
Interpret OBD-II code B2180,,"Front Wiper Select Switch ""B"" Short to Ground"
Interpret OBD-II code B2181,,"Front Wiper Select Switch ""C"" Short to Ground"
Interpret OBD-II code B2182,,Window Passenger Front Remote Up Switch Short to Battery
Interpret OBD-II code B2183,,"Front Wiper Select Switch ""H"" Short to Ground"
Interpret OBD-II code B2184,,"Front Wiper Select Switch ""W"" Short to Ground"
Interpret OBD-II code B2185,,"Rear Wiper Select Switch ""D"" Short to Ground"
Interpret OBD-II code B2186,,Window Passenger Front Remote Down Switch Short to Battery
Interpret OBD-II code B2187,,"Rear Wiper Select Switch ""B"" Short to Ground"
Interpret OBD-II code B2188,,"Rear Wiper Select Switch ""E"" Short to Ground"
Interpret OBD-II code B2190,,Window Passenger Rear Remote Up Switch Short to Battery
Interpret OBD-II code B2194,,Window Passenger Rear Remote Down Switch Short to Battery
Interpret OBD-II code B2195,,Driver Window  Up / Down Power Circuit Short to Ground
Interpret OBD-II code B2196,,Passenger Window Up / Down Power Circuit Short to Ground
Interpret OBD-II code B2197,,TV Module Error
Interpret OBD-II code B2198,,TrafficMaster Module Error
Interpret OBD-II code B2199,,VICS Module Error
Interpret OBD-II code B2200,,No Communication to TV Module (No Fitting of TV)
Interpret OBD-II code B2201,,No Communication With Traffic MasterModule
Interpret OBD-II code B2202,,No Communication to VICS Module (No Fitting of VICS)
Interpret OBD-II code B2203,,CD-ROM Error
Interpret OBD-II code B2204,,GPS Antenna Connection Open or Short
Interpret OBD-II code B2205,,GPS Receiver Error
Interpret OBD-II code B2206,,Gyroscope Error
Interpret OBD-II code B2207,,ECU ROM Checksum Error
Interpret OBD-II code B2208,,Communication Link to Display and Switch Module Error
Interpret OBD-II code B2209,,Interior Lamp Override Switch Open Circuit
Interpret OBD-II code B2210,,Interior Lamp Override Switch Short to Ground
Interpret OBD-II code B2211,,Low Coolant Lamp Output Circuit Short to Battery
Interpret OBD-II code B2214,,Window Passenger Front Up Switch Short to Battery
Interpret OBD-II code B2215,,Window Passenger Front Down Switch Short to Battery
Interpret OBD-II code B2219,,Window Driver Front Current Feedback Exceeded
Interpret OBD-II code B2220,,Window Driver Rear Current Feedback Exceeded
Interpret OBD-II code B2221,,Window Passenger Front Current Feedback Exceeded
Interpret OBD-II code B2222,,Window Passenger Rear Current Feedback Exceeded
Interpret OBD-II code B2223,,Mirror Driver Drive Circuit Failure
Interpret OBD-II code B2224,,Mirror Passenger Drive Circuit Failure
Interpret OBD-II code B2225,,Front Crash Sensor Mount Fault
Interpret OBD-II code B2226,,Front Crash Sensor Internal Fault
Interpret OBD-II code B2227,,Front Crash Sensor Driver Communications Fault
Interpret OBD-II code B2228,,Air Bag Driver Circuit Short to Ground - Loop #2
Interpret OBD-II code B2229,,Air Bag Passenger Circuit Short to Ground - Loop #2
Interpret OBD-II code B2230,,Air Bag Driver Circuit Short to Battery - Loop #2
Interpret OBD-II code B2231,,Air Bag Passenger Circuit Short to Battery - Loop #2
Interpret OBD-II code B2232,,Air Bag Driver Circuit Open - Loop #2
Interpret OBD-II code B2233,,Air Bag passenger Circuit Open - Loop #2
Interpret OBD-II code B2234,,Air Bag Driver Inflator Circuit Resistance Low on Squib - Loop #2
Interpret OBD-II code B2235,,Air Bag Passenger Inflator Circuit
Interpret OBD-II code B2236,,Weak or Defected Electric Vehicle Battery Module Fault
Interpret OBD-II code B2237,,Vehicle Signal indicating Park While VSS Present
Interpret OBD-II code B2238,,Power Cable For Power Sliding Door Broken
Interpret OBD-II code B2239,,Rear Cargo Door Set Switch Stuck (Short to Ground)
Interpret OBD-II code B2240,,Rear Cargo Door Reset Switch Stuck (Short to Ground)
Interpret OBD-II code B2241,,Rear Cargo Door Lock Circuit Short to Ground
Interpret OBD-II code B2242,,Rear Cargo Door Unlock Circuit Open
Interpret OBD-II code B2243,,Driver Rear Door Ajar Circuit Open
Interpret OBD-II code B2244,,Driver Sliding Door Ajar Circuit Short to GND
Interpret OBD-II code B2245,,Passenger Rear Door Ajar Circuit Open
Interpret OBD-II code B2246,,Passenger Sliding Door Ajar Circuit Short to GND
Interpret OBD-II code B2247,,EV Battery Pack Temperature Fault
Interpret OBD-II code B2248,,Heated Windshield Relay Coil Circuit Failure
Interpret OBD-II code B2249,,Head Lamp Relay Coil Short to Battery
Interpret OBD-II code B2250,,All Doors Unlock Relay Circuit Failure
Interpret OBD-II code B2251,,Parklamp Output Relay Driver Circuit Failure
Interpret OBD-II code B2252,,Parklamp Output Relay Dirver Short to Battery
